Customer ID,Date of Purchase,Purchase Value
10860,2023-07-29 12:19:58.580611,1174.43
11294,2023-06-28 12:19:58.580611,297.49
11130,2024-07-17 12:19:58.580611,584.25
11095,2024-12-28 12:19:58.580611,631.81
11638,2022-07-24 12:19:58.580611,992.5
12169,2024-08-05 12:19:58.580611,200.14
10466,2024-07-24 12:19:58.580611,565.8
11238,2023-11-27 12:19:58.580611,787.64
10330,2024-05-25 12:19:58.580611,328.82
11482,2023-01-18 12:19:58.580611,786.49
12135,2023-03-23 12:19:58.580611,1115.27
10130,2023-01-28 12:19:58.580611,1197.25
11685,2023-07-19 12:19:58.580611,126.02
10769,2023-07-11 12:19:58.580611,351.5
12391,2022-11-14 12:19:58.580611,434.44
11515,2022-11-09 12:19:58.580611,533.03
12433,2023-02-22 12:19:58.580611,358.91
11215,2023-11-12 12:19:58.580611,315.87
10955,2024-02-17 12:19:58.580611,1149.55
12324,2022-07-04 12:19:58.580611,1109.56
11184,2024-06-16 12:19:58.580611,142.16
10459,2023-03-15 12:19:58.580611,466.08
10021,2023-07-19 12:19:58.580611,539.71
12300,2022-11-10 12:19:58.580611,355.31
10747,2024-08-09 12:19:58.580611,788.05
10474,2024-04-15 12:19:58.580611,800.82
11082,2022-06-02 12:19:58.580611,1034.06
12047,2024-09-11 12:19:58.580611,912.36
10975,2023-05-31 12:19:58.580611,692.26
11806,2024-06-30 12:19:58.580611,815.48
10189,2022-11-07 12:19:58.580611,394.13
10562,2022-03-19 12:19:58.580611,748.29
11899,2024-01-27 12:19:58.580611,633.04
11267,2023-12-15 12:19:58.580611,238.01
11528,2023-10-02 12:19:58.580611,359.22
10646,2024-11-09 12:19:58.580611,413.78
12068,2022-09-05 12:19:58.580611,1115.98
12214,2024-06-20 12:19:58.580611,345.73
11297,2023-05-26 12:19:58.580611,411.06
10600,2025-01-14 12:19:58.580611,499.98
12363,2023-08-13 12:19:58.580611,826.75
12061,2022-12-31 12:19:58.580611,221.24
10241,2025-01-16 12:19:58.580611,1148.88
12041,2022-11-20 12:19:58.580611,1050.78
11363,2024-11-28 12:19:58.580611,730.71
12139,2023-05-30 12:19:58.580611,838.18
11390,2024-01-28 12:19:58.580611,108.49
11478,2022-04-30 12:19:58.580611,466.23
10775,2024-09-12 12:19:58.580611,973.18
10034,2024-01-15 12:19:58.580611,176.01
12253,2024-11-19 12:19:58.580611,403.37
11955,2023-01-21 12:19:58.580611,739.68
11585,2023-09-08 12:19:58.580611,374.62
11021,2024-04-29 12:19:58.580611,1126.72
11129,2022-12-13 12:19:58.580611,235.48
11500,2023-01-31 12:19:58.580611,975.11
10702,2024-12-21 12:19:58.580611,653.82
11579,2022-09-03 12:19:58.580611,922.87
10161,2024-08-22 12:19:58.580611,434.89
10201,2024-08-18 12:19:58.580611,661.08
11981,2023-09-07 12:19:58.580611,1041.09
10995,2023-12-17 12:19:58.580611,608.23
12317,2023-07-29 12:19:58.580611,489.29
10815,2023-05-19 12:19:58.580611,685.13
10455,2024-06-30 12:19:58.580611,886.27
11275,2024-02-12 12:19:58.580611,582.36
11016,2023-01-09 12:19:58.580611,1132.15
12343,2024-05-31 12:19:58.580611,417.39
10337,2023-12-15 12:19:58.580611,617.76
10878,2024-02-08 12:19:58.580611,930.19
11076,2022-06-06 12:19:58.580611,854.92
10791,2024-05-27 12:19:58.580611,1048.64
12264,2024-09-10 12:19:58.580611,1196.46
10763,2023-06-16 12:19:58.580611,563.81
12235,2023-01-10 12:19:58.580611,213.38
10379,2024-08-07 12:19:58.580611,123.76
10492,2023-12-29 12:19:58.580611,896.83
11180,2022-12-16 12:19:58.580611,1060.16
12062,2024-07-24 12:19:58.580611,334.99
10064,2025-01-09 12:19:58.580611,265.88
11367,2023-08-08 12:19:58.580611,159.05
11152,2022-11-30 12:19:58.580611,1003.2
12027,2023-06-11 12:19:58.580611,435.63
11495,2024-11-24 12:19:58.580611,535.88
11162,2022-06-06 12:19:58.580611,648.05
11522,2022-05-14 12:19:58.580611,1021.79
10391,2022-08-06 12:19:58.580611,812.42
11698,2023-01-06 12:19:58.580611,772.72
10418,2022-11-06 12:19:58.580611,285.0
12336,2022-06-12 12:19:58.580611,659.64
10378,2023-02-01 12:19:58.580611,884.07
11796,2024-02-15 12:19:58.580611,1170.32
12278,2022-04-19 12:19:58.580611,313.56
12088,2022-06-15 12:19:58.580611,100.59
12182,2024-02-21 12:19:58.580611,173.58
10200,2023-12-19 12:19:58.580611,507.2
11863,2025-02-09 12:19:58.580611,1000.8
10779,2024-01-21 12:19:58.580611,97.93
10502,2024-10-18 12:19:58.580611,596.97
11751,2023-10-27 12:19:58.580611,455.45
10804,2022-12-11 12:19:58.580611,148.25
12146,2025-02-20 12:19:58.580611,589.76
11895,2022-07-02 12:19:58.580611,372.77
11570,2022-03-15 12:19:58.580611,480.59
10960,2022-08-25 12:19:58.580611,873.23
11485,2023-05-21 12:19:58.580611,668.92
11028,2022-12-11 12:19:58.580611,228.36
10502,2023-09-06 12:19:58.580611,1157.17
10397,2024-06-17 12:19:58.580611,795.86
